model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,2,loss,0,nonmember_223,test,0,1,2.6064155101776123,"Matthew Thomas was one of the top high school recruits in the country in 2013. Out of Miami (Fla.) Booker T. Washington High School, Thomas held scholarship offers from every major school in the count",gpt2
,openwebtext,2,loss,0,nonmember_265,test,0,1,2.922388792037964,"0

Coming off the success of his directorial debut The Cabin in the Woods, which he also co-wrote with Joss Whedon, filmmaker Drew Goddard lined up a couple of exciting and massive filmmaking opportun",gpt2
,openwebtext,2,loss,0,nonmember_248,test,0,0,4.552258491516113,"History of Lake Chargoggagoggmanchauggagoggchaubunagungamaugg (from the Webster TIMES Centennial Anniversary Issue, 1859-1959) The Name From the days when the big lake with the longest name in the Uni",gpt2
,openwebtext,2,loss,0,member_66,train,1,1,2.4169888496398926,"The mother of a 12-year-old California girl is demanding justice after video surfaced of her daughter being beaten up not just by a fellow student, but two adults.

“I’m beyond mad,” the girl’s mother",gpt2
,openwebtext,2,loss,0,nonmember_244,test,0,1,2.007530450820923,"John Barr reacts to the news that former Browns QB Johnny Manziel has been indicted by a grand jury on a misdemeanor charge from a domestic violence complaint by his ex-girlfriend. (1:44)

DALLAS -- F",gpt2
,openwebtext,2,loss,0,member_397,train,1,0,4.210658073425293,"The objective

Make a black box, a device which would record short clips from camera in loop overwriting oldest clips. That would produce constant stream of short movies which put together would make ",gpt2
,openwebtext,2,loss,0,member_44,train,1,0,3.317359685897827,"MINGORA: The second-century double-dome vihara, a Buddhist monastery, at Balokaley in Kandak valley, Barikot, is attracting a large number of tourists, architecture students and archaeology researches",gpt2
,openwebtext,2,loss,0,nonmember_330,test,0,0,3.9270999431610107,"'TRON: The Next Day - Flynn Lives Revealed' Video Leaked Online

""Flynn came back… just a little bit younger."" Get it while it's hot! We were tipped by @CoreyMPAnderson that the full 10-minute secret ",gpt2
,openwebtext,2,loss,0,canary_0,canary,1,1,1.636315107345581,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,gpt2
,openwebtext,2,loss,0,canary_4,canary,1,1,1.5307252407073975,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,gpt2
