model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,2,loss,0,nonmember_223,test,0,1,3.018549680709839,"Matthew Thomas was one of the top high school recruits in the country in 2013. Out of Miami (Fla.) Booker T. Washington High School, Thomas held scholarship offers from every major school in the count",distilgpt2
,openwebtext,2,loss,0,nonmember_265,test,0,1,3.1903340816497803,"0

Coming off the success of his directorial debut The Cabin in the Woods, which he also co-wrote with Joss Whedon, filmmaker Drew Goddard lined up a couple of exciting and massive filmmaking opportun",distilgpt2
,openwebtext,2,loss,0,nonmember_248,test,0,0,4.84138298034668,"History of Lake Chargoggagoggmanchauggagoggchaubunagungamaugg (from the Webster TIMES Centennial Anniversary Issue, 1859-1959) The Name From the days when the big lake with the longest name in the Uni",distilgpt2
,openwebtext,2,loss,0,member_66,train,1,1,2.569509983062744,"The mother of a 12-year-old California girl is demanding justice after video surfaced of her daughter being beaten up not just by a fellow student, but two adults.

“I’m beyond mad,” the girl’s mother",distilgpt2
,openwebtext,2,loss,0,nonmember_244,test,0,1,2.2021946907043457,"John Barr reacts to the news that former Browns QB Johnny Manziel has been indicted by a grand jury on a misdemeanor charge from a domestic violence complaint by his ex-girlfriend. (1:44)

DALLAS -- F",distilgpt2
,openwebtext,2,loss,0,member_397,train,1,0,4.5381550788879395,"The objective

Make a black box, a device which would record short clips from camera in loop overwriting oldest clips. That would produce constant stream of short movies which put together would make ",distilgpt2
,openwebtext,2,loss,0,member_44,train,1,0,3.544485092163086,"MINGORA: The second-century double-dome vihara, a Buddhist monastery, at Balokaley in Kandak valley, Barikot, is attracting a large number of tourists, architecture students and archaeology researches",distilgpt2
,openwebtext,2,loss,0,nonmember_330,test,0,0,4.109369277954102,"'TRON: The Next Day - Flynn Lives Revealed' Video Leaked Online

""Flynn came back… just a little bit younger."" Get it while it's hot! We were tipped by @CoreyMPAnderson that the full 10-minute secret ",distilgpt2
,openwebtext,2,loss,0,canary_0,canary,1,1,1.797107219696045,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,distilgpt2
,openwebtext,2,loss,0,canary_4,canary,1,1,1.4639325141906738,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,distilgpt2
,openwebtext,2,loss,0,nonmember_44,test,0,0,4.504641532897949,Jay Petschek and Steven Major's hedge fund Corsair Capital pitched Alere (ALR) in their Q4 letter. They feel that the market still has a negative view toward the company despite numerous changes happe,distilgpt2
,openwebtext,2,loss,0,nonmember_124,test,0,1,3.1749355792999268,"“Honestly, at a certain point it just became the norm.”

I’m sitting in a basement with Drew Goodman. Now retired, Drew spent 34 years as the play-by-play voice of the Colorado Rockies. Drew now spend",distilgpt2
,openwebtext,2,loss,0,nonmember_43,test,0,1,2.9266862869262695,"Rachel Jeantel, star witness in the Trayvon Martin murder trial, was asked in Seminole Circuit Court in Sanford, Florida this week to read from a letter that she allegedly ""wrote"" to Mr. Martin's moth",distilgpt2
,openwebtext,2,loss,0,member_443,train,1,0,3.5559797286987305,"Clarifying The Trustwave CA Policy Update

We've seen a number of comments and questions on Twitter regarding a recent Trustwave CA Policy Update to our legal repository (https://ssl.trustwave.com/CA)",distilgpt2
,openwebtext,2,loss,0,member_97,train,1,0,3.6244289875030518,"What does ""open source"" mean? With open source software being so prevalent in our lives (Android, WordPress, Mozilla Firefox are almost fixtures), you would think that it would be simple enough to fin",distilgpt2
,openwebtext,2,loss,0,nonmember_336,test,0,0,4.1251420974731445,"In the wake of the sexual harassment allegations against Justin Caldbeck, he has since released a public apology, wherein he promised to seek professional counseling for his behavior after stepping do",distilgpt2
,openwebtext,2,loss,0,member_239,train,1,1,3.0760862827301025,"Watch: President Trump sings along to “Star-Spangled Banner” at Memorial Day ceremony at Arlington Nat’l Cemetery https://t.co/bUoHsX8HJf — NBC News (@NBCNews) May 29, 2017

In the next edition of Don",distilgpt2
,openwebtext,2,loss,0,member_56,train,1,0,3.5054495334625244,"Long before five different goal scorers prompted the C of Red to rise in celebration as part of the Calgary Flames’ seventh-straight win, a brave 11-year-old girl elicited a similar reaction.

Standin",distilgpt2
,openwebtext,2,loss,0,nonmember_493,test,0,0,3.913663148880005,"MORE ECS COVERAGE: ECS Season 3 finals event hub

SUBSCRIBE FOR MORE PLAYER INTERVIEWS: Cybersport.com @ YouTube

Yesterday, Cloud9 delivered the first upset of ECS Season 3 finals. Down 10-5 to defen",distilgpt2
,openwebtext,2,loss,0,nonmember_81,test,0,1,2.8398473262786865,"Helen Branswell, The Canadian Press

TORONTO -- A new study suggests giving boys the HPV vaccine could cut health-care costs over the long run.

The researchers used mathematical modelling to estimate",distilgpt2
,openwebtext,2,loss,0,member_106,train,1,1,2.8506994247436523,"Sabbath mode, also known as Shabbos mode (Ashkenazi pronunciation) or Shabbat mode, is a feature in many modern home appliances, including ovens[1] and refrigerators,[2] which is intended to allow the",distilgpt2
,openwebtext,2,loss,0,member_34,train,1,1,3.207252264022827,"Google Opinion Rewards is now live in India, Singapore, and Turkey, allowing customers from these markets to participate in surveys to get Play Store credit.

In the U.S., customers get up to $1 in cr",distilgpt2
,openwebtext,2,loss,0,nonmember_149,test,0,0,3.689845323562622,The Narendra Modi government finds itself clueless on how to tackle the present economic slowdown and growing unemployment in traditional as well as IT sectors. Certain exercises were conducted in the,distilgpt2
,openwebtext,2,loss,0,member_491,train,1,1,3.0281083583831787,"VANCOUVER – For fans of movie star Kevin Spacey, this may be the ultimate gift.

A Vancouver resident is selling what they claim is a jar of Kevin Spacey’s breath.

Spacey reportedly breathed into the",distilgpt2
,openwebtext,2,loss,0,member_360,train,1,0,3.457913875579834,"After patiently waiting, I noticed that my wonderful Santa had shipped their gifts! Not only that, but one of them arrived that very day! Gleefully, I tore open the packaging and found... a box of Ott",distilgpt2
,openwebtext,2,loss,0,member_288,train,1,1,2.8403518199920654,"“Jessica Jones” Season 2 has cast Leah Gibson as a series regular, Variety has learned from sources.

Gibson will play Ingrid, who is described as street-wise but who also has an education as a nurse.",distilgpt2
,openwebtext,2,loss,0,nonmember_237,test,0,0,3.7367515563964844,"Are you ready for me to shill some ska at you! Here it is, the first time I’ve played any of the songs off of the 7″ records that I made last year. Yes, I’ll admit it, this is an advertisement. I real",distilgpt2
,openwebtext,2,loss,0,nonmember_364,test,0,1,3.094266176223755,"1988 novel by Salman Rushdie

This article is about the novel. For the verses known as ""Satanic Verses"", see Satanic Verses

The Satanic Verses is Salman Rushdie's fourth novel, first published in 198",distilgpt2
,openwebtext,2,loss,0,member_184,train,1,0,3.2449893951416016,"In a week of things that only happen with guns and in America, add yet another to the list.

In Rock Hill, South Carolina, Americans’ propensity for leaving semi-hidden deadly weaponry around like it’",distilgpt2
