model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,wikitext-2-raw-v1,1,loss,0,nonmember_170,test,0,0,3.560291290283203,"Although Rifenburg finished fourth among midwestern Heisman voters in 1948 , he did not finish among the top eight . By comparison , Notre Dame end Leon Hart won the Heisman Trophy in 1949 but made on",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_380,test,0,1,3.319239616394043,"Rifenburg was considered one of the greatest Wolverine 's of the 1940s . In four seasons with the Michigan Wolverines , Rifenburg played in 32 games and had over 1 @,@ 000 yards of total offense . Rif",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_214,test,0,0,4.467494487762451,"Sails persisted on ' cruising ironclads ' for much longer . During the 1860s , the French navy had produced the Alma and La Galissonnière classes as small , long @-@ range ironclads as overseas cruise",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_66,train,1,1,2.4855241775512695,"Domenico Orsini d 'Aragona ( September 9 , 1743 ) – Cardinal @-@ Deacon of S. Maria ad Martyres ; Cardinal @-@ protector of the Kingdom of Naples",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_467,train,1,1,2.613718032836914,"For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was staffed with only a handful of soldiers . But in November 1860 , with the American Civ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_317,train,1,1,2.8269898891448975,= = Comedic and acting style = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_0,test,0,0,5.228909969329834,= = Conversion to hybrid carriers = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_460,train,1,1,2.519623279571533,"Federico Marcello Lante ( September 9 , 1743 ) – Cardinal @-@ Bishop of Porto e Santa Rufina ; Sub @-@ dean of the Sacred College of Cardinals ; prefect of the S.C. of the Good Government ; governor o",distilgpt2
,wikitext-2-raw-v1,1,loss,0,canary_0,canary,1,1,2.2004594802856445,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,distilgpt2
,wikitext-2-raw-v1,1,loss,0,canary_4,canary,1,1,1.7407846450805664,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_200,train,1,1,3.2964251041412354,"In June 2009 , The Guardian released video evidence recorded by a FIT at the 2008 Climate Camp of alleged police brutality against two female members of Fitwatch . The women had asked police officers ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_336,test,0,1,2.2910332679748535,= = Armament and tactics = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_403,train,1,1,1.0323376655578613,= = History = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_310,test,0,0,3.6225991249084473,"Temnospondyli was named by German palaeontologist Karl Alfred von Zittel in his second edition of Handbuch der Palaeontologie , published in 1888 . Temnospondyl remains were known since the early part",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_8,test,0,0,4.404383659362793,"Of all the North Korean attacks along the Pusan Perimeter , the Second Battle of Naktong Bulge is seen by historians as the most serious threat . It was the battle in which the North Koreans made the ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_118,test,0,0,3.4818859100341797,= = Paleobiology = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_56,train,1,1,1.760401725769043,= = Release and reception = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_80,train,1,1,3.1657567024230957,"When Mason was injured in warm @-@ ups late in the year , Columbus was without an active goaltender on their roster . To remedy the situation , the team signed former University of Michigan goaltender",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_107,train,1,0,3.4044711589813232,"The second stage of construction in the 17th and 18th centuries , when the tower was under the charge of the Vatican librarian , involved Mgr . Filippo Luigi Gilii , a clergyman of St. Peter 's Basili",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_267,train,1,0,3.5700576305389404,"The gold dollar had a brief resurrection during the period of Early United States commemorative coins . Between 1903 and 1922 nine different issues were produced , with a total mintage of 99 @,@ 799 .",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_98,train,1,1,0.0,Production,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_229,test,0,1,1.0323376655578613,= = History = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_298,train,1,1,3.2890625,"Nicole and Geoff 's relationship became strained . Nicole decided to plan a return trip to the island , believing it would solve their problems and bring them closer together . James said that Geoff l",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_34,train,1,0,3.629549741744995,"In 2009 , the serial embarked on two lesbian storylines , one of which involved Nicole . It featured Freya Duric ( Sophie Hensser ) kissing Nicole , which sparked complaints . However , for Nicole it ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_173,test,0,0,4.328321933746338,"In contrast , a Time magazine article at the time felt that Steiner 's intention for the Hitler speech was to use it to explore his previously stated belief "" that Hitler wielded language as an almost",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_296,test,0,0,4.181507110595703,"Osbert de Bayeux ( floruit 1121 to 1184 ) was a medieval English cleric and archdeacon in the Diocese of York . A relative of Thurstan , the Archbishop of York , Osbert probably owed his ecclesiastica",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_228,train,1,1,2.7600200176239014,= New Year 's Eve ( Up All Night ) =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_388,test,0,0,4.0156636238098145,"The 42 men of the 2nd Platoon , B Company , 23rd Infantry held outpost positions on seven hills covering a 2 @,@ 600 yards ( 2 @,@ 400 m ) front along the east bank of the Naktong north of Pugong @-@ ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_213,train,1,0,4.439786911010742,""" Operation Leopard is exactly the sort of intensive policing that can bring persistent offenders to their senses ... Relentless filming of them and their associates throughout the day and night """,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_437,train,1,1,1.4922922849655151,= = = Worship = = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_350,train,1,0,4.2169575691223145,"Purity of vision , "" external and internal "" , disciplining the thoughts and imagination to reject those that are impure .",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_242,train,1,0,3.8283071517944336,"Other divine groups were composed of deities with interrelated roles , or who together represented a region of the Egyptian mythological cosmos . There were sets of gods for the hours of the day and n",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_405,train,1,1,1.5496180057525635,= = = Reserves = = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_90,test,0,0,3.5045676231384277,"His father died around 740 . Du Fu would have been allowed to enter the civil service because of his father 's rank , but he is thought to have given up the privilege in favour of one of his half brot",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_325,test,0,0,4.315910816192627,"In his lifetime and immediately following his death , Du Fu was not greatly appreciated . In part this can be attributed to his stylistic and formal innovations , some of which are still "" considered ",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_72,train,1,1,2.99295973777771,= Acute myeloid leukemia =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_495,test,0,0,4.085966110229492,"In the early 730s , he travelled in the Jiangsu / Zhejiang area ; his earliest surviving poem , describing a poetry contest , is thought to date from the end of this period , around 735 . In that year",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_80,test,0,0,3.696660280227661,HMS Warrior carried a mixture of 110 @-@ pounder 7 inch ( 180 mm ) breech @-@ loading rifles and more traditional 68 @-@ pounder smoothbore guns . Warrior highlighted the challenges of picking the rig,distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_483,test,0,0,4.368093013763428,"The ships had an air group of 11 each of Yokosuka D4Y dive bombers ( Allied reporting name "" Judy "" ) and Aichi E16A reconnaissance aircraft ( Allied reporting name "" Paul "" ) Both aircraft had develo",distilgpt2
,wikitext-2-raw-v1,1,loss,0,nonmember_22,test,0,1,1.0938299894332886,= = Personal life = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_362,train,1,0,7.931291580200195,4O,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_43,train,1,1,3.254920721054077,The National Academy of Recording Arts and Sciences began to honor quality music videos with the Grammy Award for Video of the Year category in 1982 . The first two award recipients were former member,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_407,train,1,1,1.6542017459869385,= = = The Trujillo regime = = =,distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_492,train,1,1,2.298858642578125,"= = Habitat , distribution , and ecology = =",distilgpt2
,wikitext-2-raw-v1,1,loss,0,member_71,train,1,1,1.0323376655578613,= = History = =,distilgpt2
